filename,value,stat_key,team,slot_index,src_team_dir,src_image
000000_blue_0_kills.png,25,kills,blue,0,blue,2025-11-25 030028.png
000001_blue_0_assists.png,5,assists,blue,0,blue,2025-11-25 030028.png
000002_blue_0_deaths.png,3,deaths,blue,0,blue,2025-11-25 030028.png
000003_blue_0_damage.png,9136,damage,blue,0,blue,2025-11-25 030028.png
000004_blue_0_heal.png,192,heal,blue,0,blue,2025-11-25 030028.png
000005_blue_0_mitig.png,4652,mitig,blue,0,blue,2025-11-25 030028.png
000006_blue_1_kills.png,20,kills,blue,1,blue,2025-11-25 030028.png
000007_blue_1_assists.png,4,assists,blue,1,blue,2025-11-25 030028.png
000008_blue_1_deaths.png,4,deaths,blue,1,blue,2025-11-25 030028.png
000009_blue_1_damage.png,12118,damage,blue,1,blue,2025-11-25 030028.png
000010_blue_1_heal.png,0,heal,blue,1,blue,2025-11-25 030028.png
000011_blue_1_mitig.png,0,mitig,blue,1,blue,2025-11-25 030028.png
000012_blue_2_kills.png,27,kills,blue,2,blue,2025-11-25 030028.png
000013_blue_2_assists.png,1,assists,blue,2,blue,2025-11-25 030028.png
000014_blue_2_deaths.png,6,deaths,blue,2,blue,2025-11-25 030028.png
000015_blue_2_damage.png,9763,damage,blue,2,blue,2025-11-25 030028.png
000016_blue_2_heal.png,0,heal,blue,2,blue,2025-11-25 030028.png
000017_blue_2_mitig.png,2049,mitig,blue,2,blue,2025-11-25 030028.png
000018_blue_3_kills.png,12,kills,blue,3,blue,2025-11-25 030028.png
000019_blue_3_assists.png,14,assists,blue,3,blue,2025-11-25 030028.png
000020_blue_3_deaths.png,3,deaths,blue,3,blue,2025-11-25 030028.png
000021_blue_3_damage.png,6271,damage,blue,3,blue,2025-11-25 030028.png
000022_blue_3_heal.png,7622,heal,blue,3,blue,2025-11-25 030028.png
000023_blue_3_mitig.png,673,mitig,blue,3,blue,2025-11-25 030028.png
000024_blue_4_kills.png,8,kills,blue,4,blue,2025-11-25 030028.png
000025_blue_4_assists.png,3,assists,blue,4,blue,2025-11-25 030028.png
000026_blue_4_deaths.png,7,deaths,blue,4,blue,2025-11-25 030028.png
000027_blue_4_damage.png,1951,damage,blue,4,blue,2025-11-25 030028.png
000028_blue_4_heal.png,8417,heal,blue,4,blue,2025-11-25 030028.png
000029_blue_4_mitig.png,84,mitig,blue,4,blue,2025-11-25 030028.png
000030_red_0_kills.png,18,kills,red,0,blue,2025-11-25 030028.png
000031_red_0_assists.png,5,assists,red,0,blue,2025-11-25 030028.png
000032_red_0_deaths.png,9,deaths,red,0,blue,2025-11-25 030028.png
000033_red_0_damage.png,10427,damage,red,0,blue,2025-11-25 030028.png
000034_red_0_heal.png,0,heal,red,0,blue,2025-11-25 030028.png
000035_red_0_mitig.png,9412,mitig,red,0,blue,2025-11-25 030028.png
000036_red_1_kills.png,9,kills,red,1,blue,2025-11-25 030028.png
000037_red_1_assists.png,1,assists,red,1,blue,2025-11-25 030028.png
000038_red_1_deaths.png,10,deaths,red,1,blue,2025-11-25 030028.png
000039_red_1_damage.png,10827,damage,red,1,blue,2025-11-25 030028.png
000040_red_1_heal.png,0,heal,red,1,blue,2025-11-25 030028.png
000041_red_1_mitig.png,439,mitig,red,1,blue,2025-11-25 030028.png
000042_red_2_kills.png,12,kills,red,2,blue,2025-11-25 030028.png
000043_red_2_assists.png,6,assists,red,2,blue,2025-11-25 030028.png
000044_red_2_deaths.png,7,deaths,red,2,blue,2025-11-25 030028.png
000045_red_2_damage.png,6735,damage,red,2,blue,2025-11-25 030028.png
000046_red_2_heal.png,51,heal,red,2,blue,2025-11-25 030028.png
000047_red_2_mitig.png,290,mitig,red,2,blue,2025-11-25 030028.png
000048_red_3_kills.png,7,kills,red,3,blue,2025-11-25 030028.png
000049_red_3_assists.png,9,assists,red,3,blue,2025-11-25 030028.png
000050_red_3_deaths.png,10,deaths,red,3,blue,2025-11-25 030028.png
000051_red_3_damage.png,4341,damage,red,3,blue,2025-11-25 030028.png
000052_red_3_heal.png,10422,heal,red,3,blue,2025-11-25 030028.png
000053_red_3_mitig.png,1610,mitig,red,3,blue,2025-11-25 030028.png
000054_red_4_kills.png,6,kills,red,4,blue,2025-11-25 030028.png
000055_red_4_assists.png,13,assists,red,4,blue,2025-11-25 030028.png
000056_red_4_deaths.png,5,deaths,red,4,blue,2025-11-25 030028.png
000057_red_4_damage.png,4371,damage,red,4,blue,2025-11-25 030028.png
000058_red_4_heal.png,8659,heal,red,4,blue,2025-11-25 030028.png
000059_red_4_mitig.png,0,mitig,red,4,blue,2025-11-25 030028.png
000060_blue_0_kills.png,18,kills,blue,0,blue,2025-11-25 030317.png
000061_blue_0_assists.png,4,assists,blue,0,blue,2025-11-25 030317.png
000062_blue_0_deaths.png,6,deaths,blue,0,blue,2025-11-25 030317.png
000063_blue_0_damage.png,8386,damage,blue,0,blue,2025-11-25 030317.png
000064_blue_0_heal.png,382,heal,blue,0,blue,2025-11-25 030317.png
000065_blue_0_mitig.png,3888,mitig,blue,0,blue,2025-11-25 030317.png
000066_blue_1_kills.png,17,kills,blue,1,blue,2025-11-25 030317.png
000067_blue_1_assists.png,2,assists,blue,1,blue,2025-11-25 030317.png
000068_blue_1_deaths.png,5,deaths,blue,1,blue,2025-11-25 030317.png
000069_blue_1_damage.png,10034,damage,blue,1,blue,2025-11-25 030317.png
000070_blue_1_heal.png,0,heal,blue,1,blue,2025-11-25 030317.png
000071_blue_1_mitig.png,0,mitig,blue,1,blue,2025-11-25 030317.png
000072_blue_2_kills.png,20,kills,blue,2,blue,2025-11-25 030317.png
000073_blue_2_assists.png,0,assists,blue,2,blue,2025-11-25 030317.png
000074_blue_2_deaths.png,9,deaths,blue,2,blue,2025-11-25 030317.png
000075_blue_2_damage.png,9585,damage,blue,2,blue,2025-11-25 030317.png
000076_blue_2_heal.png,1774,heal,blue,2,blue,2025-11-25 030317.png
000077_blue_2_mitig.png,0,mitig,blue,2,blue,2025-11-25 030317.png
000078_blue_3_kills.png,9,kills,blue,3,blue,2025-11-25 030317.png
000079_blue_3_assists.png,15,assists,blue,3,blue,2025-11-25 030317.png
000080_blue_3_deaths.png,7,deaths,blue,3,blue,2025-11-25 030317.png
000081_blue_3_damage.png,5393,damage,blue,3,blue,2025-11-25 030317.png
000082_blue_3_heal.png,4217,heal,blue,3,blue,2025-11-25 030317.png
000083_blue_3_mitig.png,0,mitig,blue,3,blue,2025-11-25 030317.png
000084_blue_4_kills.png,16,kills,blue,4,blue,2025-11-25 030317.png
000085_blue_4_assists.png,17,assists,blue,4,blue,2025-11-25 030317.png
000086_blue_4_deaths.png,2,deaths,blue,4,blue,2025-11-25 030317.png
000087_blue_4_damage.png,5690,damage,blue,4,blue,2025-11-25 030317.png
000088_blue_4_heal.png,8813,heal,blue,4,blue,2025-11-25 030317.png
000089_blue_4_mitig.png,140,mitig,blue,4,blue,2025-11-25 030317.png
000090_red_0_kills.png,17,kills,red,0,blue,2025-11-25 030317.png
000091_red_0_assists.png,1,assists,red,0,blue,2025-11-25 030317.png
000092_red_0_deaths.png,7,deaths,red,0,blue,2025-11-25 030317.png
000093_red_0_damage.png,8429,damage,red,0,blue,2025-11-25 030317.png
000094_red_0_heal.png,7206,heal,red,0,blue,2025-11-25 030317.png
000095_red_0_mitig.png,1989,mitig,red,0,blue,2025-11-25 030317.png
000096_red_1_kills.png,12,kills,red,1,blue,2025-11-25 030317.png
000097_red_1_assists.png,3,assists,red,1,blue,2025-11-25 030317.png
000098_red_1_deaths.png,8,deaths,red,1,blue,2025-11-25 030317.png
000099_red_1_damage.png,7714,damage,red,1,blue,2025-11-25 030317.png
000100_red_1_heal.png,0,heal,red,1,blue,2025-11-25 030317.png
000101_red_1_mitig.png,216,mitig,red,1,blue,2025-11-25 030317.png
